year,avg_temp
1808,7.63
1809,7.08
1810,6.92
1811,6.86
1812,7.05
1813,7.74
1814,7.59
1815,7.24
1816,6.94
1817,6.98
1818,7.83
1819,7.37
1820,7.62
1821,8.09
1822,8.19
1823,7.72
1824,8.55
1825,8.39
1826,8.36
1827,8.81
1828,8.17
1829,7.94
1830,8.52
1831,7.64
1832,7.45
1833,8.01
1834,8.15
1835,7.39
1836,7.70
1837,7.38
1838,7.51
1839,7.63
1840,7.80
1841,7.69
1842,8.02
1843,8.17
1844,7.65
1845,7.85
1846,8.55
1847,8.09
1848,7.98
1849,7.98
1850,7.90
1851,8.18
1852,8.10
1853,8.04
1854,8.21
1855,8.11
1856,8.00
1857,7.76
1858,8.10
1859,8.25
1860,7.96
1861,7.85
1862,7.56
1863,8.11
1864,7.98
1865,8.18
1866,8.29
1867,8.44
1868,8.25
1869,8.43
1870,8.20
1871,8.12
1872,8.19
1873,8.35
1874,8.43
1875,7.86
1876,8.08
1877,8.54
1878,8.83
1879,8.17
1880,8.12
1881,8.27
1882,8.13
1883,7.98
1884,7.77
1885,7.92
1886,7.95
1887,7.91
1888,8.09
1889,8.32
1890,7.97
1891,8.02
1892,8.07
1893,8.06
1894,8.16
1895,8.15
1896,8.21
1897,8.29
1898,8.18
1899,8.40
1900,8.50
1901,8.54
1902,8.30
1903,8.22
1904,8.09
1905,8.23
1906,8.38
1907,7.95
1908,8.19
1909,8.18
1910,8.22
1911,8.18
1912,8.17
1913,8.30
1914,8.59
1915,8.59
1916,8.23
1917,8.02
1918,8.13
1919,8.38
1920,8.36
1921,8.57
1922,8.41
1923,8.42
1924,8.51
1925,8.53
1926,8.73
1927,8.52
1928,8.63
1929,8.24
1930,8.63
1931,8.72
1932,8.71
1933,8.34
1934,8.63
1935,8.52
1936,8.55
1937,8.70
1938,8.86
1939,8.76
1940,8.76
1941,8.77
1942,8.73
1943,8.76
1944,8.85
1945,8.58
1946,8.68
1947,8.80
1948,8.75
1949,8.59
1950,8.37
1951,8.63
1952,8.64
1953,8.87
1954,8.56
1955,8.63
1956,8.28
1957,8.73
1958,8.77
1959,8.73
1960,8.58
1961,8.80
1962,8.75
1963,8.86
1964,8.41
1965,8.53
1966,8.60
1967,8.70
1968,8.52
1969,8.60
1970,8.70
1971,8.60
1972,8.50
1973,8.95
1974,8.47
1975,8.74
1976,8.35
1977,8.85
1978,8.69
1979,8.73
1980,8.98
1981,9.17
1982,8.64
1983,9.03
1984,8.69
1985,8.66
1986,8.83
1987,8.99
1988,9.20
1989,8.92
1990,9.23
1991,9.18
1992,8.84
1993,8.87
1994,9.04
1995,9.35
1996,9.04
1997,9.20
1998,9.52
1999,9.29
2000,9.20
2001,9.41
2002,9.57
2003,9.53
2004,9.32
2005,9.70
2006,9.53
2007,9.73
2008,9.43
2009,9.51
2010,9.70
2011,9.52
2012,9.51
2013,9.61
