,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
0,1995,Egypt,4.64,944.2,2.64,15.74,11.3,3.54,66.76,63714386.0,0.577,Developing
6,1995,Mexico,-5.76,3655.6,-7.46,35.0,6.89,5.06,72.74,94045579.0,0.67,Developing
4,1995,Brazil,4.42,4840.79,2.75,66.01,9.91,6.51,67.6,162296612.0,0.649,Developing
3,1995,Iran,2.4,1591.72,0.96,49.66,11.74,3.74,68.31,60575644.0,0.634,Developing
8,1995,Morocco,-5.41,1428.07,-6.85,6.12,22.9,3.55,66.78,27075232.0,0.489,Developing
9,1995,Thailand,8.12,2845.41,7.05,5.82,1.14,3.53,70.2,59491790.0,0.611,Developing
1,1995,Turkey,7.88,2897.87,6.18,88.11,7.64,2.51,66.98,58486381.0,0.604,Developing
5,1995,South Africa,3.12,3752.65,0.95,8.68,16.9,8.28,61.27,41426810.0,0.653,Developing
7,1995,China,10.95,609.66,9.75,16.9,4.55,3.53,70.21,1204855000.0,0.547,Developing
0,1995,Norway,4.15,34875.2,3.61,2.46,6.31,7.72,77.74,4359184.0,0.883,Developed
2,1995,Germany,1.74,31729.7,1.44,1.72,8.16,9.43,76.42,81678051.0,0.834,Developed
3,1995,Switzerland,0.48,48540.58,-0.19,1.8,3.33,9.33,78.42,7040687.0,0.846,Developed
4,1995,United States,2.72,28782.18,1.5,2.81,5.6,13.09,75.62,266278000.0,0.877,Developed
5,1995,France,2.09,27037.97,1.72,1.78,12.04,10.11,77.75,59541900.0,0.825,Developed
6,1995,Italy,2.89,20596.39,2.89,5.24,11.67,7.1,78.17,56844303.0,0.799,Developed
7,1995,Sweden,4.02,29914.33,3.48,2.53,8.9,7.96,78.74,8826939.0,0.856,Developed
8,1995,Canada,2.68,20577.49,1.83,2.17,9.5,8.86,77.98,29354000.0,0.86,Developed
1,1995,Australia,3.89,20384.67,2.64,4.64,8.47,7.26,77.83,18072000.0,0.885,Developed
2,1995,India,7.57,370.1,5.53,10.22,3.97,4.02,60.42,960482795.0,0.46,Developing
9,1995,Austria,2.67,30252.79,2.51,2.25,4.35,9.55,76.67,7948278.0,0.816,Developed
15,1996,South Africa,4.31,3496.97,2.37,7.35,21.0,8.47,60.53,42210216.0,0.651,Developing
