,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
0,1995,Norway,4.15,34875.2,3.61,2.46,6.31,7.72,77.74,4359184,0.883,Developed
10,1996,Norway,5.03,37321.44,4.5,1.26,5.04,7.67,78.15,4381336,0.888,Developed
20,1997,Norway,5.28,36628.52,4.72,2.58,4.69,8.24,78.14,4405157,0.895,Developed
30,1998,Norway,2.62,34788.78,2.02,2.26,3.74,9.07,78.33,4431464,0.906,Developed
40,1999,Norway,2.01,36371.4,1.32,2.33,3.25,9.14,78.28,4461913,0.911,Developed
50,2000,Norway,3.21,38146.72,2.54,3.09,3.46,8.27,78.63,4490967,0.917,Developed
60,2001,Norway,2.09,38549.59,1.57,3.02,3.74,8.65,78.79,4513751,0.916,Developed
70,2002,Norway,1.44,43061.15,0.89,1.29,4.02,9.62,78.99,4538159,0.918,Developed
80,2003,Norway,0.92,50111.65,0.33,2.48,4.22,9.85,79.39,4564855,0.924,Developed
90,2004,Norway,3.96,57570.27,3.35,0.47,4.26,9.44,79.84,4591910,0.929,Developed
100,2005,Norway,2.62,66775.39,1.93,1.52,4.38,8.89,80.04,4623291,0.931,Developed
110,2006,Norway,2.4,74114.7,1.57,2.33,3.4,8.43,80.34,4660677,0.934,Developed
120,2007,Norway,2.93,85128.66,1.87,0.73,2.49,8.58,80.4,4709153,0.936,Developed
130,2008,Norway,0.38,96880.51,-0.86,3.77,2.55,8.4,80.59,4768212,0.936,Developed
140,2009,Norway,-1.62,80017.78,-2.86,2.17,3.1,9.49,80.8,4828726,0.936,Developed
150,2010,Norway,0.6,87646.75,-0.64,2.4,3.52,9.26,81.0,4889252,0.939,Developed
160,2011,Norway,0.97,100574.99,-0.33,1.3,3.21,9.14,81.3,4953088,0.941,Developed
170,2012,Norway,2.75,101563.7,1.41,0.71,3.12,9.16,81.45,5018573,0.942,Developed
180,2013,Norway,1.0,102910.44,-0.22,2.13,3.42,9.39,81.75,5079623,0.945,Developed
190,2014,Norway,1.92,97005.5,0.78,2.03,3.48,9.72,82.1,5137232,0.948,Developed
200,2015,Norway,1.61,74505.25,0.6,2.17,4.3,9.56,82.1,5188607,0.949,Developed
1,1995,Australia,3.89,20384.67,2.64,4.64,8.47,7.26,77.83,18072000,0.885,Developed
11,1996,Australia,3.95,21944.16,2.59,2.61,8.51,7.44,78.08,18311000,0.888,Developed
21,1997,Australia,3.95,23551.22,2.79,0.25,8.36,7.5,78.48,18517000,0.891,Developed
31,1998,Australia,4.44,21365.98,3.36,0.85,7.68,7.66,78.63,18711000,0.894,Developed
41,1999,Australia,5.01,20561.48,3.81,1.47,6.87,7.79,78.93,18926000,0.897,Developed
51,2000,Australia,3.87,21690.92,2.64,4.48,6.28,8.08,79.23,19153000,0.899,Developed
61,2001,Australia,1.93,19517.84,0.56,4.38,6.74,8.18,79.63,19413000,0.902,Developed
71,2002,Australia,3.85,20081.82,2.59,3.0,6.37,8.39,79.94,19651400,0.905,Developed
81,2003,Australia,3.07,23465.39,1.8,2.77,5.93,8.32,80.24,19895400,0.908,Developed
91,2004,Australia,4.15,30472.38,2.95,2.34,5.39,8.57,80.49,20127400,0.91,Developed
101,2005,Australia,3.2,34016.71,1.85,2.67,5.03,8.45,80.84,20394800,0.915,Developed
111,2006,Australia,2.98,36118.28,1.47,3.54,4.78,8.49,81.04,20697900,0.918,Developed
121,2007,Australia,3.75,40991.98,3.1,2.33,4.38,8.53,81.29,20827600,0.921,Developed
131,2008,Australia,3.7,49664.69,1.64,4.35,4.23,8.78,81.4,21249200,0.925,Developed
141,2009,Australia,1.81,42743.0,-0.26,1.82,5.56,9.05,81.54,21691700,0.927,Developed
151,2010,Australia,2.01,51874.08,0.43,2.85,5.21,9.02,81.7,22031750,0.927,Developed
161,2011,Australia,2.37,62245.1,0.96,3.3,5.08,9.2,81.9,22340024,0.93,Developed
171,2012,Australia,3.63,67677.63,1.86,1.76,5.22,9.36,82.05,22728254,0.933,Developed
181,2013,Australia,2.57,67792.3,0.84,2.45,5.66,9.36,82.15,23117353,0.936,Developed
191,2014,Australia,2.61,62214.61,1.11,2.49,6.07,9.42,82.3,23460694,0.937,Developed
201,2015,Australia,2.42,56554.04,1.01,1.51,6.06,9.62,82.45,23789338,0.939,Developed
2,1995,Germany,1.74,31729.7,1.44,1.72,8.16,9.43,76.42,81678051,0.834,Developed
12,1996,Germany,0.82,30564.25,0.53,1.45,8.82,9.91,76.67,81914831,0.84,Developed
22,1997,Germany,1.85,27045.72,1.7,1.88,9.86,10.03,77.07,82034771,0.845,Developed
32,1998,Germany,1.98,27340.67,1.96,0.94,9.79,10.05,77.48,82047195,0.85,Developed
42,1999,Germany,1.99,26795.99,1.92,0.57,8.85,10.05,77.73,82100243,0.855,Developed
52,2000,Germany,2.96,23718.75,2.82,1.47,7.92,10.1,77.93,82211508,0.86,Developed
62,2001,Germany,1.7,23687.32,1.52,1.98,7.77,10.15,78.33,82349925,0.867,Developed
72,2002,Germany,0.0,25205.16,-0.17,1.42,8.48,10.4,78.23,82488495,0.872,Developed
82,2003,Germany,-0.71,30359.95,-0.76,1.03,9.78,10.62,78.38,82534176,0.877,Developed
92,2004,Germany,1.17,34165.93,1.19,1.67,10.73,10.37,78.68,82516260,0.884,Developed
102,2005,Germany,0.71,34696.62,0.76,1.55,11.17,10.52,78.93,82469422,0.892,Developed
112,2006,Germany,3.7,36447.87,3.82,1.58,10.25,10.34,79.13,82376451,0.898,Developed
122,2007,Germany,3.26,41814.82,3.4,2.3,8.66,10.18,79.53,82266372,0.903,Developed
132,2008,Germany,1.08,45699.2,1.27,2.63,7.53,10.39,79.74,82110097,0.906,Developed
142,2009,Germany,-5.62,41732.71,-5.38,0.31,7.74,11.4,79.84,81902307,0.907,Developed
152,2010,Germany,4.08,41785.56,4.24,1.1,6.97,11.25,79.99,81776930,0.912,Developed
162,2011,Germany,3.66,46810.33,5.6,2.08,5.82,10.93,80.44,80274983,0.916,Developed
172,2012,Germany,0.49,44065.25,0.3,2.01,5.38,10.99,80.54,80425823,0.919,Developed
182,2013,Germany,0.49,46530.91,0.22,1.5,5.23,11.16,80.49,80645605,0.92,Developed
192,2014,Germany,1.6,47902.65,1.17,0.91,4.98,11.3,81.09,80982500,0.924,Developed
202,2015,Germany,1.72,41176.88,0.84,0.23,4.62,11.33,81.09,81686611,0.926,Developed
3,1995,Switzerland,0.48,48540.58,-0.19,1.8,3.33,9.33,78.42,7040687,0.846,Developed
13,1996,Switzerland,0.6,46610.06,0.16,0.82,3.7,9.72,78.9,7071850,0.853,Developed
23,1997,Switzerland,2.31,40429.94,2.07,0.52,4.2,9.67,79.08,7088906,0.863,Developed
33,1998,Switzerland,2.94,41487.69,2.64,0.02,3.6,9.85,79.32,7110001,0.872,Developed
43,1999,Switzerland,1.64,40577.34,1.16,0.82,3.14,10.0,79.58,7143991,0.879,Developed
53,2000,Switzerland,3.95,37813.23,3.36,1.54,2.67,9.91,79.68,7184250,0.888,Developed
63,2001,Switzerland,1.45,38538.64,0.81,0.99,2.49,10.28,80.18,7229854,0.89,Developed
73,2002,Switzerland,0.14,41336.72,-0.61,0.64,2.92,10.61,80.39,7284753,0.889,Developed
83,2003,Switzerland,0.05,47960.56,-0.69,0.64,4.12,10.93,80.54,7339001,0.895,Developed
93,2004,Switzerland,2.84,53255.98,2.14,0.8,4.32,10.96,81.09,7389625,0.899,Developed
103,2005,Switzerland,3.04,54797.55,2.38,1.17,4.44,10.86,81.24,7437115,0.904,Developed
113,2006,Switzerland,4.01,57348.93,3.36,1.06,4.0,10.39,81.49,7483934,0.911,Developed
123,2007,Switzerland,4.14,63223.47,3.21,0.73,3.65,10.21,81.74,7551117,0.914,Developed
133,2008,Switzerland,2.28,72119.56,0.99,2.43,3.35,10.29,81.99,7647675,0.916,Developed
143,2009,Switzerland,-2.13,69672.0,-3.34,-0.48,4.12,11.0,82.04,7743831,0.92,Developed
153,2010,Switzerland,2.95,74276.72,1.89,0.7,4.54,11.07,82.25,7824909,0.932,Developed
163,2011,Switzerland,1.8,87998.44,0.68,0.23,4.04,11.21,82.7,7912398,0.932,Developed
173,2012,Switzerland,1.05,83164.39,-0.02,-0.69,4.19,11.59,82.7,7996861,0.934,Developed
183,2013,Switzerland,1.78,84658.89,0.62,-0.22,4.39,11.71,82.8,8089346,0.936,Developed
193,2014,Switzerland,2.0,85814.59,0.76,-0.01,4.54,11.66,83.2,8188649,0.938,Developed
203,2015,Switzerland,0.84,80989.84,-0.3,-1.14,4.55,11.69,83.2,8282396,0.939,Developed
4,1995,United States,2.72,28782.18,1.5,2.81,5.6,13.09,75.62,266278000,0.877,Developed
14,1996,United States,3.8,30068.23,2.6,2.93,5.4,13.04,76.03,269394000,0.878,Developed
24,1997,United States,4.49,31572.69,3.24,2.34,4.9,12.96,76.43,272657000,0.881,Developed
34,1998,United States,4.45,32949.2,3.24,1.55,4.5,12.99,76.58,275854000,0.884,Developed
44,1999,United States,4.69,34620.93,3.49,2.19,4.2,12.99,76.58,279040000,0.885,Developed
54,2000,United States,4.09,36449.86,2.94,3.38,4.0,13.07,76.64,282162411,0.884,Developed
64,2001,United States,0.98,37273.62,-0.02,2.83,4.7,13.73,76.84,284968955,0.887,Developed
74,2002,United States,1.79,38166.04,0.85,1.59,5.8,14.55,76.94,287625193,0.889,Developed
84,2003,United States,2.81,39677.2,1.93,2.27,6.0,15.06,77.04,290107933,0.892,Developed
94,2004,United States,3.79,41921.81,2.83,2.68,5.5,15.14,77.49,292805298,0.895,Developed
104,2005,United States,3.35,44307.92,2.4,3.39,5.1,15.15,77.49,295516599,0.898,Developed
114,2006,United States,2.67,46437.07,1.68,3.23,4.6,15.27,77.69,298379912,0.901,Developed
124,2007,United States,1.78,48061.54,0.82,2.85,4.6,15.57,77.99,301231207,0.905,Developed
134,2008,United States,-0.29,48401.43,-1.23,3.84,5.8,16.02,78.04,304093966,0.907,Developed
144,2009,United States,-2.78,47001.56,-3.62,-0.36,9.3,17.0,78.39,306771529,0.907,Developed
154,2010,United States,2.53,48373.88,1.68,1.64,9.6,17.02,78.54,309348193,0.91,Developed
164,2011,United States,1.6,49790.67,0.85,3.16,8.9,17.06,78.64,311663358,0.913,Developed
174,2012,United States,2.22,51450.12,1.46,2.07,8.1,17.02,78.74,313998379,0.915,Developed
184,2013,United States,1.68,52787.03,0.97,1.46,7.4,16.9,78.74,316204908,0.916,Developed
194,2014,United States,2.37,54598.55,1.61,1.62,6.2,17.14,78.74,318563456,0.918,Developed
