,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
0,1995,Egypt,4.64,944.2,2.64,15.74,11.3,3.54,66.76,63714386.0,0.577,Developing
10,1996,Egypt,4.99,1041.52,3.02,7.19,9.0,3.9,67.23,64933456.0,0.585,Developing
20,1997,Egypt,5.49,1185.72,3.55,4.63,8.4,4.61,67.66,66151117.0,0.592,Developing
30,1998,Egypt,4.04,1259.0,2.14,3.87,8.03,4.93,68.04,67378056.0,0.593,Developing
40,1999,Egypt,6.11,1321.8,4.17,3.08,7.95,5.26,68.34,68626664.0,0.606,Developing
50,2000,Egypt,5.37,1428.18,3.44,2.68,9.0,5.55,68.59,69905988.0,0.612,Developing
60,2001,Egypt,3.54,1370.72,1.62,2.27,9.26,5.75,68.78,71226940.0,0.617,Developing
70,2002,Egypt,2.37,1210.23,0.45,2.74,10.01,5.97,68.95,72590118.0,0.621,Developing
80,2003,Egypt,3.19,1120.87,1.25,4.51,11.0,5.41,69.1,73981942.0,0.623,Developing
90,2004,Egypt,4.09,1045.94,2.16,11.27,10.3,5.21,69.26,75381899.0,0.629,Developing
100,2005,Egypt,4.48,1168.12,2.58,4.87,11.2,5.06,69.42,76778149.0,0.636,Developing
110,2006,Egypt,6.85,1375.2,4.97,7.64,10.49,5.24,69.6,78159048.0,0.644,Developing
120,2007,Egypt,7.09,1640.48,5.23,9.32,8.8,4.95,69.78,79537253.0,0.651,Developing
130,2008,Egypt,7.16,2011.25,5.28,18.32,8.7,4.82,69.96,80953881.0,0.659,Developing
140,2009,Egypt,4.67,2291.67,2.76,11.76,9.38,5.01,70.15,82465022.0,0.665,Developing
150,2010,Egypt,5.15,2602.48,3.09,11.27,8.98,4.8,70.34,84107606.0,0.671,Developing
160,2011,Egypt,1.78,2747.48,-0.34,10.05,12.0,5.04,70.53,85897561.0,0.673,Developing
170,2012,Egypt,2.22,3181.44,-0.01,7.12,12.67,5.29,70.73,87813257.0,0.681,Developing
