,tweet_id,retweet_count,favorite_count,created_at
0,892420643555336193,8696,39108,Tue Aug 01 16:23:56 +0000 2017
1,892177421306343426,6383,33489,Tue Aug 01 00:17:27 +0000 2017
2,891815181378084864,4241,25241,Mon Jul 31 00:18:03 +0000 2017
3,891689557279858688,8796,42472,Sun Jul 30 15:58:51 +0000 2017
4,891327558926688256,9576,40631,Sat Jul 29 16:00:24 +0000 2017
5,891087950875897856,3178,20378,Sat Jul 29 00:08:17 +0000 2017
6,890971913173991426,2116,11946,Fri Jul 28 16:27:12 +0000 2017
7,890729181411237888,19274,66073,Fri Jul 28 00:22:40 +0000 2017
8,890609185150312448,4339,27980,Thu Jul 27 16:25:51 +0000 2017
9,890240255349198849,7566,32202,Wed Jul 26 15:59:51 +0000 2017
10,890006608113172480,7474,30867,Wed Jul 26 00:31:25 +0000 2017
11,889880896479866881,5058,27993,Tue Jul 25 16:11:53 +0000 2017
12,889665388333682689,10254,48359,Tue Jul 25 01:55:32 +0000 2017
13,889638837579907072,4633,27390,Tue Jul 25 00:10:02 +0000 2017
14,889531135344209921,2271,15215,Mon Jul 24 17:02:04 +0000 2017
15,889278841981685760,5545,25493,Mon Jul 24 00:19:32 +0000 2017
16,888917238123831296,4593,29310,Sun Jul 23 00:22:39 +0000 2017
17,888804989199671297,4444,25793,Sat Jul 22 16:56:37 +0000 2017
18,888554962724278272,3668,20084,Sat Jul 22 00:23:06 +0000 2017
19,888078434458587136,3584,21944,Thu Jul 20 16:49:33 +0000 2017
20,887705289381826560,5502,30427,Wed Jul 19 16:06:48 +0000 2017
21,887517139158093824,11884,46570,Wed Jul 19 03:39:09 +0000 2017
22,887473957103951883,18596,69675,Wed Jul 19 00:47:34 +0000 2017
23,887343217045368832,10593,33932,Tue Jul 18 16:08:03 +0000 2017
24,887101392804085760,6074,30797,Tue Jul 18 00:07:08 +0000 2017
25,886983233522544640,7923,35479,Mon Jul 17 16:17:36 +0000 2017
26,886736880519319552,3364,12182,Sun Jul 16 23:58:41 +0000 2017
27,886680336477933568,4551,22605,Sun Jul 16 20:14:00 +0000 2017
28,886366144734445568,3248,21292,Sat Jul 15 23:25:31 +0000 2017
29,886267009285017600,4,117,Sat Jul 15 16:51:35 +0000 2017
30,886258384151887873,6409,28198,Sat Jul 15 16:17:19 +0000 2017
31,886054160059072513,105,0,Sat Jul 15 02:45:48 +0000 2017
32,885984800019947520,6939,32989,Fri Jul 14 22:10:11 +0000 2017
33,885528943205470208,6561,36285,Thu Jul 13 15:58:47 +0000 2017
34,885518971528720385,3836,20575,Thu Jul 13 15:19:09 +0000 2017
35,885311592912609280,18926,0,Thu Jul 13 01:35:06 +0000 2017
36,885167619883638784,4458,22119,Wed Jul 12 16:03:00 +0000 2017
37,884925521741709313,18877,78194,Wed Jul 12 00:01:00 +0000 2017
38,884876753390489601,5963,28181,Tue Jul 11 20:47:12 +0000 2017
39,884562892145688576,5019,24503,Tue Jul 11 00:00:02 +0000 2017
40,884441805382717440,5766,27208,Mon Jul 10 15:58:53 +0000 2017
41,884247878851493888,20805,73559,Mon Jul 10 03:08:17 +0000 2017
42,884162670584377345,3047,20538,Sun Jul 09 21:29:42 +0000 2017
43,883838122936631299,3517,22074,Sun Jul 09 00:00:04 +0000 2017
44,883482846933004288,10181,46332,Sat Jul 08 00:28:19 +0000 2017
45,883360690899218434,3760,22730,Fri Jul 07 16:22:55 +0000 2017
46,883117836046086144,6804,37527,Fri Jul 07 00:17:54 +0000 2017
47,882992080364220416,4021,24139,Thu Jul 06 15:58:11 +0000 2017
48,882762694511734784,5014,28551,Thu Jul 06 00:46:41 +0000 2017
49,882627270321602560,6208,28102,Wed Jul 05 15:48:34 +0000 2017
50,882268110199369728,11831,45322,Tue Jul 04 16:01:23 +0000 2017
51,882045870035918850,5085,29588,Tue Jul 04 01:18:17 +0000 2017
52,881906580714921986,3454,24482,Mon Jul 03 16:04:48 +0000 2017
53,881666595344535552,10904,50978,Mon Jul 03 00:11:11 +0000 2017
54,881633300179243008,7,129,Sun Jul 02 21:58:53 +0000 2017
55,881536004380872706,16294,49841,Sun Jul 02 15:32:16 +0000 2017
56,881268444196462592,5249,23247,Sat Jul 01 21:49:04 +0000 2017
57,880935762899988482,2836,17141,Fri Jun 30 23:47:07 +0000 2017
58,880872448815771648,3908,21477,Fri Jun 30 19:35:32 +0000 2017
59,880465832366813184,6410,28753,Thu Jun 29 16:39:47 +0000 2017
60,880221127280381952,4328,27314,Thu Jun 29 00:27:25 +0000 2017
61,880095782870896641,4444,27838,Wed Jun 28 16:09:20 +0000 2017
62,879862464715927552,3574,22461,Wed Jun 28 00:42:13 +0000 2017
63,879674319642796034,10,314,Tue Jun 27 12:14:36 +0000 2017
64,879492040517615616,3255,23589,Tue Jun 27 00:10:17 +0000 2017
65,879415818425184262,45090,106768,Mon Jun 26 19:07:24 +0000 2017
66,879376492567855104,3176,16899,Mon Jun 26 16:31:08 +0000 2017
67,879130579576475649,7014,0,Mon Jun 26 00:13:58 +0000 2017
68,879050749262655488,4826,22778,Sun Jun 25 18:56:45 +0000 2017
69,879008229531029506,2748,19105,Sun Jun 25 16:07:47 +0000 2017
70,878776093423087618,4224,19539,Sun Jun 25 00:45:22 +0000 2017
71,878604707211726852,7413,30535,Sat Jun 24 13:24:20 +0000 2017
72,878404777348136964,1324,0,Sat Jun 24 00:09:53 +0000 2017
73,878316110768087041,6818,0,Fri Jun 23 18:17:33 +0000 2017
74,878281511006478336,1324,7830,Fri Jun 23 16:00:04 +0000 2017
75,878057613040115712,7014,42391,Fri Jun 23 01:10:23 +0000 2017
76,877736472329191424,19647,80720,Thu Jun 22 03:54:17 +0000 2017
77,877611172832227328,82,0,Wed Jun 21 19:36:23 +0000 2017
78,877556246731214848,3914,22998,Wed Jun 21 15:58:08 +0000 2017
79,877316821321428993,5311,27597,Wed Jun 21 00:06:44 +0000 2017
80,877201837425926144,5728,27379,Tue Jun 20 16:29:50 +0000 2017
81,876838120628539392,3447,20873,Mon Jun 19 16:24:33 +0000 2017
82,876537666061221889,4711,23607,Sun Jun 18 20:30:39 +0000 2017
83,876484053909872640,2465,18942,Sun Jun 18 16:57:37 +0000 2017
84,876120275196170240,4804,28155,Sat Jun 17 16:52:05 +0000 2017
85,875747767867523072,4401,25441,Fri Jun 16 16:11:53 +0000 2017
86,875144289856114688,5043,22121,Thu Jun 15 00:13:52 +0000 2017
87,875097192612077568,6208,27657,Wed Jun 14 21:06:43 +0000 2017
88,875021211251597312,4818,25732,Wed Jun 14 16:04:48 +0000 2017
89,874680097055178752,4763,28133,Tue Jun 13 17:29:20 +0000 2017
90,874434818259525634,15192,0,Tue Jun 13 01:14:41 +0000 2017
91,874296783580663808,4231,26325,Mon Jun 12 16:06:11 +0000 2017
92,874057562936811520,4058,22874,Mon Jun 12 00:15:36 +0000 2017
93,874012996292530176,10761,35067,Sun Jun 11 21:18:31 +0000 2017
